물질명,유형,원소수,평균원자질량,평균가전자수,밀도,열전도도,전자비열계수,Tc
Al2Yb,합금,2,31.98,5.6,13.82,24.37,13.07,19.95
Pd3Ba2,수소화물,2,18.97,3.8,3.83,16.15,2.29,133.65
HoTh,합금,2,116.44,4.3,7.58,66.66,7.71,5.12
Pd2Cd2AsNd3Pt,고온,5,135.8,4.3,8.43,3.39,0.87,107.51
AuCa4Rb2,화합물,3,77.24,3.5,7.07,14.19,7.24,7.09
Co2Ca,합금,2,120.13,4.3,9.87,134.89,5.35,12.56
SnU2P4Os3Gd4,고온,5,79.44,2.7,8.3,12.59,5.6,41.07
PIn4,화합물,2,43.05,5.3,10.58,41.64,2.69,9.34
Rb3Na2,화합물,2,133.63,4.2,4.79,37.89,13.95,4.63
Au2Sb3Ru,화합물,3,34.2,4.8,11.58,12.38,1.8,7.05
Bi2Yb3Ga4,화합물,3,124.76,3.3,1.6,6.52,11.42,1.28
Ir2Zn4,화합물,2,145.37,5.4,4.78,43.66,8.32,77.46
Cu3TbCoMg4TaSc2,고온,6,62.16,5.4,3.3,11.08,12.82,149.47
O3BNi2,합금,3,147.78,4.1,2.52,63.79,7.33,4.72
DyInAu,화합물,3,124.72,2.0,12.32,19.69,9.81,4.34
ZrZn3MoEr2CNa2,고온,6,90.5,4.0,6.97,12.96,5.44,105.51
Ga,원소,1,127.62,4.0,9.31,184.81,2.56,0.0
Be2Zr4Ba,합금,3,68.93,4.0,6.39,89.5,5.81,5.39
AuRh,화합물,2,41.76,3.6,9.53,4.47,12.97,8.7
In2Pb,화합물,2,88.83,4.9,9.74,38.63,7.92,5.03
ZrSrSi4,화합물,3,45.52,5.0,13.32,24.83,5.73,16.87
TbSbTe,합금,3,42.76,2.2,7.79,78.31,7.67,5.1
Lu2La2,화합물,2,63.79,4.4,5.73,18.5,3.92,28.44
NiB3,합금,2,144.04,2.4,4.75,50.5,0.91,1.78
NBe,화합물,2,89.93,2.4,4.91,1.09,5.46,8.3
Tl3NaMn2Pb2,고온,4,133.38,1.8,8.65,12.65,5.87,119.55
Pb3Ho3Bi,합금,3,133.76,3.8,15.75,87.91,5.17,22.73
Ce2AgPrV,화합물,4,32.08,3.8,11.83,44.33,7.03,5.53
Dy2Tb2,수소화물,2,44.89,4.1,5.3,32.95,1.59,170.33
Tb2N2,화합물,2,144.54,2.4,11.22,14.05,0.33,1.33
ScAgSrF2,고온,4,82.97,4.9,5.61,7.24,2.98,53.77
Nb4Be2,화합물,2,159.98,2.5,12.71,24.43,4.56,6.67
Ag3NbTb3Si2Dy,고온,5,116.19,4.6,3.35,2.86,10.12,121.6
Zr,원소,1,199.74,4.0,9.21,223.53,9.03,4.43
CeN3,합금,2,85.07,2.1,11.8,43.7,4.49,13.29
B3CW,합금,3,20.13,4.7,11.68,70.98,14.56,9.79
RbGa4FSn,화합물,4,93.89,2.1,5.67,39.15,13.0,2.4
TbLu2C4La4SmAg3,고온,6,60.35,2.7,7.76,5.02,8.56,72.59
AsAg3,화합물,2,151.77,2.2,8.81,45.88,10.45,16.02
Co2BInTh2,화합물,4,147.99,3.5,4.2,21.05,4.1,4.26
CRh3Mg2,화합물,3,108.05,5.0,10.29,19.6,11.68,13.2
ZrNBe2,화합물,3,139.74,3.2,1.73,5.45,7.92,8.77
Y3NiRu2,화합물,3,43.89,2.9,1.86,37.41,14.4,4.62
Tm2Ca2,화합물,2,80.87,3.9,9.26,1.73,4.76,7.32
K3SnIr,화합물,3,154.54,4.0,11.9,38.27,4.57,16.57
Th2N,합금,2,120.45,5.7,14.57,77.07,9.39,6.3
Tb2Y2Fe2,수소화물,3,6.16,2.4,7.15,75.48,8.51,207.71
Pt2Hg,합금,2,82.64,3.4,4.43,86.98,7.3,0.0
Te2,원소,1,158.63,3.0,19.27,309.75,7.08,6.58
P2CdEr2Yb,고온,4,84.39,2.4,6.93,13.24,13.38,141.82
SbK2Nd,화합물,3,18.02,2.5,2.15,39.14,3.19,7.47
Cs3Os2SrTa2,화합물,4,118.05,3.6,7.42,45.95,11.79,35.96
CdEuAu,화합물,3,40.24,5.3,10.95,3.78,4.5,11.49
Gd4Pr4Cd,화합물,3,101.43,5.9,12.17,23.08,8.3,7.2
Ho2Sb,합금,2,96.56,5.7,11.05,138.07,13.23,7.33
DyTbNi,화합물,3,120.82,4.1,9.49,38.76,0.63,8.83
ErPbO,화합물,3,82.66,5.4,2.44,6.59,5.79,11.34
Hf2As2,화합물,2,133.84,3.8,10.35,25.24,10.56,4.44
C3O2Pt4,화합물,3,69.31,4.2,4.59,17.59,2.01,13.78
Pr4NbAl4W3Sc2Bi2,고온,6,69.16,3.4,6.17,5.88,13.15,143.45
K,원소,1,192.5,5.0,4.0,208.46,2.67,5.38
UDy,화합물,2,141.27,4.9,10.48,39.53,3.44,3.24
Mg2Ga,화합물,2,119.41,4.2,13.82,4.49,10.76,4.65
ThDy2CaBi2Co,고온,5,85.62,5.5,5.55,12.95,13.56,71.61
Ho,원소,1,118.7,1.0,15.97,116.01,7.55,0.42
Nb3Pd,화합물,2,124.22,2.5,6.88,1.32,13.41,22.57
Ga2NTb3Os3Cu2Ag,고온,6,30.73,5.3,3.81,1.98,10.34,48.66
BeTh3,합금,2,37.06,6.0,5.77,136.07,14.4,14.42
VP3MnRb2Te3,고온,5,119.24,5.6,3.72,8.18,8.6,106.06
Mn2,원소,1,120.24,4.0,8.52,294.51,4.3,0.0
NaCOsEr4Th2,고온,5,34.01,5.9,4.6,13.4,3.17,88.5
Ni2SCa3Ir,고온,4,67.22,2.4,6.48,7.19,5.19,77.26
Hg3C2,화합물,2,142.76,4.3,10.46,42.48,11.45,4.25
Sc3Lu3Ge2,화합물,3,119.78,4.9,6.67,13.38,1.72,20.14
Sm,원소,1,41.76,5.0,11.83,292.34,3.2,3.11
Si2Zr2U4Cu3Cs3Ta4,고온,6,38.91,3.7,6.25,6.44,10.12,43.56
Mg3Ga2,화합물,2,82.02,1.9,4.85,3.14,5.53,4.33
Sr,원소,1,171.23,5.0,14.42,29.33,6.42,7.61
Eu3TaYbY,화합물,4,97.67,5.8,4.64,7.63,0.74,37.3
CrErOs3,화합물,3,63.16,3.0,13.5,40.6,12.71,2.81
YP2,합금,2,173.13,2.2,14.82,89.11,1.72,8.51
As2Pd3,합금,2,54.19,5.6,8.43,20.29,6.14,9.15
Nb,원소,1,222.65,1.0,12.27,252.48,3.48,0.42
ZrDy2Nd2,화합물,3,81.52,2.4,12.13,20.63,1.18,8.66
TmAg3Pt,화합물,3,121.95,5.9,8.82,3.18,2.29,17.62
NGe2Dy4Fe,화합물,4,74.44,4.5,5.95,11.66,4.45,14.18
Nb2CuSi2Re,고온,4,47.94,3.0,3.87,5.16,10.77,153.36
Gd2Ag3Os3H2,고온,4,113.34,4.5,3.13,12.64,7.46,74.83
Zn3CPdCd2,화합물,4,53.54,4.9,13.1,38.05,4.35,7.0
Pb,원소,1,32.24,1.0,18.43,265.21,9.79,0.26
NHf,화합물,2,80.21,4.3,11.73,10.77,0.72,28.63
Ga3SrN2,화합물,3,123.04,4.9,5.76,26.84,6.73,12.51
Be2Dy,화합물,2,48.41,1.8,6.77,44.36,7.38,14.99
KTi2,화합물,2,61.87,4.7,10.62,49.68,9.03,6.76
ErInYbPb,화합물,4,38.55,5.3,11.3,34.42,7.55,15.6
TbHgCsRe3,고온,4,126.91,3.9,7.56,12.01,6.65,121.18
Tl2HIn2,합금,3,144.63,5.6,15.35,86.64,11.63,11.7
S3KEuP3,화합물,4,95.35,3.1,13.92,45.73,11.27,5.15
Au4,원소,1,233.66,4.0,17.17,327.17,5.84,4.13
NiZrHPr2LiP2,고온,6,89.67,4.3,4.87,8.24,13.53,102.8
C2Ti2Sr,합금,3,161.72,4.4,2.2,17.49,12.04,9.15
GaYb,합금,2,171.67,5.6,4.12,51.23,8.77,9.17
LaBa2U4Sb4,화합물,4,86.73,5.2,13.85,27.86,5.11,12.37
IrMn2,화합물,2,60.15,5.7,10.02,26.24,9.15,6.29
Li2As,합금,2,114.0,5.6,8.61,123.23,13.05,10.59
Nd3Si3Ca2O4,화합물,4,13.99,3.7,11.54,45.05,3.57,4.46
ScTm2SeIn2,화합물,4,126.18,4.3,10.67,4.94,9.73,16.79
Lu3,원소,1,196.84,2.0,14.79,268.51,8.68,2.98
GeN4Tb3,화합물,3,119.63,2.2,12.69,36.97,13.38,4.04
Tb3Os3Sn2CSbTa3,고온,6,78.2,4.4,3.92,8.68,4.48,84.65
GaPtAgNa3,화합물,4,11.34,3.4,2.94,7.46,11.39,20.47
Cd2IrRu2,화합물,3,120.68,5.0,10.57,38.99,11.91,21.05
Cs2Cr,화합물,2,141.99,2.5,11.27,25.47,6.27,5.29
LaF3Ge4,화합물,3,138.86,3.7,1.94,2.79,8.71,7.98
Yb2CsZr,합금,3,122.42,4.4,9.89,59.4,1.11,11.27
Be4Er,합금,2,110.86,4.1,5.02,137.02,2.19,4.4
Lu4RuSeBa3O2,고온,5,134.82,3.1,4.14,8.89,10.04,92.83
InNd4Ru2,수소화물,3,30.84,2.8,4.52,37.37,9.38,122.56
Mn2HfMo3,화합물,3,94.85,1.6,4.12,9.62,5.7,4.65
Ir4,원소,1,189.2,2.0,19.26,355.05,2.0,0.0
VSe2,합금,2,112.82,1.5,5.48,115.5,8.27,9.27
Co4NbO4,화합물,3,123.48,2.7,9.46,28.95,10.23,6.32
MnAs4Zr3,화합물,3,51.77,5.5,13.07,39.91,5.88,16.03
Rh2,원소,1,123.71,3.0,17.26,331.45,4.41,2.26
Pr2Cd2Hf3Dy3Te,고온,5,39.37,2.8,7.58,10.66,3.6,105.98
RhBa2Hg,화합물,3,21.72,3.6,13.89,4.66,2.69,18.01
Ba2Se2Zr4Ir2Na2,고온,5,108.67,4.6,6.54,8.78,11.55,137.24
Ag4Tb2OsHg2Sm4O3,고온,6,68.7,3.6,6.71,4.25,11.89,41.93
Th3V2Er2Ce2Au,고온,5,59.92,4.7,3.84,3.85,1.81,135.87
GaCa2,화합물,2,113.76,3.5,3.9,46.88,10.1,0.0
SBi3K2C,화합물,4,38.2,4.8,2.05,34.05,0.42,19.36
Mg4Zr4,화합물,2,136.92,2.4,2.69,39.04,11.4,10.11
Na4Yb4Li,화합물,3,133.04,2.3,4.39,30.75,5.72,6.17
FP2PdEr,화합물,4,144.28,1.9,5.44,21.44,4.41,11.44
ZrPb,수소화물,2,21.96,3.9,4.86,6.4,4.27,208.52
GaCeYSi2Gd3Rh3,고온,6,65.22,2.2,4.64,8.03,6.83,157.76
Ba2Mn2Fe2Au3Yb2Ni,고온,6,139.36,2.0,6.11,4.11,5.29,55.05
ScMo3B2OTa2,고온,5,131.24,4.4,5.7,7.53,4.35,53.21
U4Er3,합금,2,48.83,2.3,13.06,51.96,5.85,11.43
Bi3C2Cd,합금,3,24.92,3.7,11.86,31.09,10.47,18.31
BaSn4,화합물,2,102.16,3.5,7.38,2.28,3.07,22.64
Er2Tm3Mo2In,화합물,4,35.18,3.4,10.19,13.89,2.95,15.67
Zn2MnInPt4,고온,4,127.89,2.2,6.35,6.59,4.2,161.55
Si2Sr,화합물,2,57.94,3.6,2.81,15.83,5.37,13.49
PdAlKEr3,화합물,4,78.23,5.9,8.58,7.34,5.26,5.4
Mn2Er3N3,화합물,3,138.39,5.1,13.4,21.91,2.64,13.38
Ni2,원소,1,63.97,1.0,6.23,196.79,0.69,0.0
B2NbSrK3,화합물,4,89.25,2.1,4.81,33.14,12.08,0.0
TiLa2Cu3Cr2Na,고온,5,48.69,2.3,5.53,11.22,0.81,99.41
ZnSm3,합금,2,143.59,1.9,11.07,18.52,14.79,0.38
EuKTbNa,화합물,4,65.92,4.5,10.42,15.78,3.62,15.21
Re4P4KIn,화합물,4,133.19,1.7,5.82,0.92,0.11,37.4
Ni2Dy2,합금,2,108.22,6.0,12.72,59.12,2.84,6.76
SiF4,합금,2,66.12,3.7,3.46,80.57,11.45,1.8
Os3Mn2,수소화물,2,53.7,3.7,2.0,58.67,0.8,266.67
RhSeEr,화합물,3,122.87,2.2,7.02,38.25,1.67,6.57
Eu2Ta2Na2,합금,3,87.32,2.4,5.6,46.91,7.07,8.06
La3GeBa,합금,3,140.03,2.8,10.36,67.21,10.92,6.22
B2WTa,화합물,3,97.53,5.7,2.9,33.13,10.85,14.78
Cs3N3As3,화합물,3,115.47,3.5,9.27,13.8,4.35,5.81
VPt4Hf2,화합물,3,31.0,4.5,13.42,33.87,6.93,10.78
K2Pb3C2,합금,3,47.64,2.6,15.6,114.87,2.66,0.0
Cs3S4La3SeBaNb3,고온,6,63.74,3.2,6.19,11.3,0.89,146.38
Os4HoRb2O2,화합물,4,49.25,1.8,3.83,12.68,12.98,1.18
As3Rh3TlHf2,화합물,4,87.53,5.6,2.68,26.63,2.72,25.2
OGaTh2,화합물,3,72.27,4.5,2.66,36.53,8.25,6.71
MnRe3,화합물,2,25.68,1.5,4.27,39.49,2.86,13.02
InLaLuS,고온,4,62.3,4.2,8.79,11.57,13.62,132.59
Er2TlLu2Ir3Se2Al,고온,6,59.38,2.1,6.49,4.26,5.81,145.93
CeLi3,화합물,2,91.94,5.2,5.67,11.81,1.78,6.07
HfPr4Au4O2Al2Rb,고온,6,118.7,3.7,3.63,1.32,14.32,137.3
Re2Eu4Li2Cs,고온,4,75.94,2.3,5.24,2.85,4.45,110.96
Mg2Th2ZrAl4Er2,고온,5,62.3,1.5,8.74,11.79,0.65,141.32
N3Os3,합금,2,145.65,5.0,15.28,5.88,14.5,8.18
ZrIr2,화합물,2,59.92,5.0,11.72,23.79,14.33,12.72
Pt2Sr3,합금,2,171.22,1.8,8.46,11.09,10.44,3.2
Mo3SFeN4HgCa3,고온,6,120.77,3.8,8.56,1.2,4.08,67.65
Eu,원소,1,145.88,5.0,5.44,330.81,3.6,5.98
U2H2NTl3,화합물,4,38.14,2.6,13.59,18.7,12.55,6.72
OsOEu2,화합물,3,16.92,2.4,8.6,27.44,6.12,4.06
F2BPt,화합물,3,36.71,3.2,7.19,11.76,7.27,40.25
FCa2YMn2,화합물,4,100.73,2.5,2.74,2.66,5.24,9.54
Yb2FPb2Cu2Ge2,고온,5,52.9,4.2,8.33,5.36,10.21,29.36
Na2ScInRh3,화합물,4,16.06,5.4,5.03,33.98,4.15,14.89
Tm3Cs4K3Zn2,고온,4,84.8,3.9,3.79,6.93,1.03,99.19
In2Ba,합금,2,156.72,2.9,2.03,132.62,0.73,16.04
Mo3Nb4HoCr2,화합물,4,90.83,1.6,1.89,8.41,5.35,9.9
RbH4,화합물,2,107.53,3.1,7.24,45.52,9.84,21.41
W,원소,1,178.35,4.0,13.25,199.68,8.16,4.84
Yb3FeCdEr2,화합물,4,91.99,5.7,4.5,42.75,10.19,6.78
Tb2Cr2Dy4,화합물,3,133.56,5.2,11.97,42.33,4.17,9.7
OsMn4Si3,화합물,3,77.35,2.3,1.77,21.71,3.49,11.52
Pd2CRbSb2,고온,4,56.54,3.4,6.1,2.6,9.43,164.52
Lu2Na3,화합물,2,86.83,4.9,7.78,23.02,3.0,6.39
Sb,원소,1,70.75,1.0,19.57,263.4,7.06,2.47
IrW,합금,2,155.11,4.2,15.4,10.09,12.56,4.44
SnPHo,화합물,3,151.33,3.4,5.88,7.57,8.71,2.94
F3La,합금,2,92.1,2.4,6.99,100.03,14.29,0.25
Mn2,원소,1,201.32,5.0,10.57,253.93,3.07,3.73
RbGe2As2Se2,화합물,4,74.25,1.7,5.02,49.53,2.03,2.41
Pd2Cd3Tb4,화합물,3,40.36,3.2,12.16,49.47,14.2,4.07
Mo4Nd2,화합물,2,36.08,5.7,13.83,32.69,11.38,13.14
Hg4YThSi,화합물,4,126.04,4.0,11.44,18.72,14.97,49.81
Gd3ScC,화합물,3,152.92,5.2,2.28,37.55,6.86,6.71
Se2Rh,화합물,2,123.77,3.2,12.41,10.37,9.11,4.82
AsF2ErBe2,고온,4,35.29,2.2,8.41,5.44,5.05,37.98
Ti2Sn3Gd4Re3,화합물,4,154.67,4.6,12.29,49.57,4.49,45.11
PbPd,화합물,2,150.34,5.4,6.18,15.02,6.31,20.33
Ni2TeBi3,화합물,3,27.66,4.9,13.02,15.5,5.65,5.5
U3,원소,1,225.7,2.0,18.96,2.7,7.93,0.23
Er2Ga2Mg3Ce,화합물,4,145.36,3.5,5.62,42.87,1.37,5.78
Os4TbNbK2,화합물,4,25.86,4.9,7.14,29.56,10.86,7.7
CEuMgBe2As,고온,5,97.65,2.8,5.35,12.3,14.56,74.53
Hg2SbCdRh2B4,고온,5,67.41,1.5,7.98,11.3,6.89,98.33
Pr4FYBe2,화합물,4,117.97,3.1,10.78,28.43,12.73,17.54
InBi,합금,2,68.61,4.4,11.69,142.33,1.07,16.3
K3U2F4,합금,3,110.76,6.0,5.85,15.95,6.43,10.08
VHo3Lu4Y,화합물,4,122.08,1.9,9.82,27.28,9.05,1.27
H2RhPd4Nb2,화합물,4,119.75,3.4,2.62,35.92,6.38,25.26
Sc2Gd,화합물,2,124.81,5.2,13.77,46.06,0.73,28.24
LiCsHg,화합물,3,86.77,5.4,2.78,33.67,13.34,9.17
O2Gd2U,합금,3,124.96,4.3,7.21,39.74,11.27,3.96
Na4SiN2,수소화물,3,8.01,5.0,4.58,66.46,10.44,158.11
Ho3K,합금,2,111.03,2.8,11.01,92.47,10.98,8.75
Cu3Ti3Pr2NaZnK,고온,6,74.02,5.8,4.3,4.79,6.46,54.39
ZnAl3AuRu,고온,4,117.36,1.9,6.18,10.89,2.1,131.86
Pd3CrPr4,화합물,3,72.21,5.9,6.85,25.35,3.54,16.75
Th2O3Cu3Be,화합물,4,143.54,3.9,2.1,20.19,3.25,4.88
Cr4ZrBe2Pr2,화합물,4,16.95,5.8,3.25,27.34,1.29,2.67
Os2Ta3Hf2,화합물,3,63.57,1.8,8.97,20.15,1.3,26.76
RbTa2CaEr,화합물,4,119.27,3.6,13.48,36.66,13.57,4.18
Fe2W3Tl4,화합물,3,77.89,2.3,4.34,6.78,1.8,0.0
Os2LiPt,화합물,3,128.31,4.0,11.18,15.46,11.01,9.48
ZnGd2,화합물,2,84.01,5.7,4.18,48.66,9.91,12.49
YLi4Fe3Sc,화합물,4,32.32,4.9,7.97,9.37,3.71,10.66
NiUSb3,화합물,3,105.58,4.1,1.8,37.53,4.62,1.57
CNdCs2,화합물,3,60.26,1.7,5.08,36.56,14.3,6.76
Mn4Ce3Se4,합금,3,118.97,5.9,8.58,89.09,12.17,7.87
Rh,원소,1,15.0,5.0,14.62,340.11,4.92,3.66
Al4O3Zn,합금,3,87.34,5.5,13.85,94.1,6.55,12.92
Ni2,원소,1,129.87,1.0,11.49,34.78,4.15,1.44
YOs,합금,2,178.39,3.2,14.47,18.77,0.28,6.65
Al2TbDyP,고온,4,32.39,3.3,4.2,10.45,10.99,158.42
Y3,원소,1,168.35,4.0,8.18,309.39,2.23,7.15
Cu2Pd2,화합물,2,67.17,4.6,11.03,28.82,10.51,8.55
Mn2As2,합금,2,103.22,1.9,9.98,54.83,13.89,0.37
W3Ag2ScSeNd2,고온,5,34.35,5.3,3.36,3.95,5.91,167.02
Tb3Pr2,화합물,2,79.61,2.7,9.39,29.98,3.35,15.56
SiIr2Mn4Ga2,화합물,4,60.33,4.0,2.74,40.78,0.96,2.15
P2Na2Ga3Pb2,화합물,4,159.33,2.1,12.16,46.6,7.92,4.37
VHoMgCe3,화합물,4,72.43,2.9,9.05,22.21,5.56,5.83
Cr2Co3,화합물,2,35.25,3.0,5.0,34.21,9.43,17.81
W3Mo,합금,2,33.92,5.6,8.02,86.19,7.35,12.56
Al4Re,수소화물,2,15.61,4.2,7.01,23.94,8.18,285.67
RhMnIn2Cr2,화합물,4,93.91,2.8,11.25,44.88,9.91,0.34
Ag2TeULa,화합물,4,143.6,4.6,13.55,27.2,13.33,12.6
Tm4Sn2Sm2,화합물,3,98.86,4.0,13.39,38.06,5.59,5.68
Os3CTmPr3,화합물,4,22.68,1.8,12.38,5.12,12.26,7.21
Tb4P2Ir4Y,고온,4,71.84,3.1,3.02,3.98,5.26,116.88
ScTm3,화합물,2,35.45,5.7,4.89,39.09,3.14,15.6
N3Gd3Ge,화합물,3,51.07,4.8,13.66,12.62,5.85,3.21
Tm2B3,합금,2,123.69,5.0,14.88,18.83,3.63,13.05
Mn2U2S3CeEu2,고온,5,74.02,5.1,8.65,1.16,2.03,79.74
N2As2CaPd,고온,4,108.91,2.2,7.3,9.03,5.14,39.45
Li2Fe4,합금,2,80.74,3.6,10.83,96.24,10.49,5.13
Er4Nb2,합금,2,159.2,5.7,10.0,64.81,2.14,5.6
EuMgHg3Ga,화합물,4,88.73,4.4,3.92,23.13,9.8,8.11
ZrFe,수소화물,2,46.14,4.9,4.64,61.56,9.17,152.78
Pr2Cs2,합금,2,50.38,2.7,9.36,85.87,7.58,1.05
Sb2Pr3Re,화합물,3,156.55,5.1,5.01,23.21,3.83,4.78
Zr,원소,1,190.81,4.0,3.33,269.83,8.75,3.42
Ag3Se2,화합물,2,19.8,1.8,6.42,4.17,7.11,10.78
CdPr4Ti3As2,화합물,4,60.97,5.8,5.45,30.08,3.24,21.37
Cd4Ti3,수소화물,2,8.26,3.7,7.64,44.12,11.08,141.91
K4Ta,화합물,2,81.99,1.9,4.46,35.14,1.71,10.08
Sm2CoGdCr,고온,4,74.63,3.1,3.91,9.74,5.89,109.89
TmRe3La,화합물,3,113.32,1.9,13.21,28.17,12.69,0.0
Pd2,원소,1,125.97,4.0,12.87,344.68,8.56,4.57
C2Cd2Sc3,화합물,3,10.74,5.5,6.17,33.43,10.12,11.93
YbAg2,화합물,2,81.46,5.7,5.51,13.89,6.5,10.17
ScF2,수소화물,2,17.5,5.3,6.82,49.28,7.56,216.91
NaO3Ag3ZnAl4,고온,5,65.96,5.9,6.65,13.04,2.5,167.29
Be2MgCo2,합금,3,104.66,5.7,14.13,69.12,14.9,6.36
AgSn3Lu4,합금,3,22.14,5.0,7.49,126.92,9.24,5.17
CeHgGa2,합금,3,112.18,4.0,9.06,147.58,0.82,7.59
ReCsPbAs3GdK2,고온,6,130.01,5.2,8.41,4.16,1.25,149.85
Ta4V3NdIr4K3Se,고온,6,64.08,2.5,8.24,3.48,1.08,60.62
Zn2Al4P2MnNiRu,고온,6,101.26,4.4,4.04,11.79,9.29,144.95
LiTa4Te2,화합물,3,78.23,3.0,10.77,24.48,12.44,7.85
AuN,화합물,2,136.99,3.8,10.98,2.58,12.61,2.52
CCu2GdLu,화합물,4,69.67,5.9,2.13,19.73,4.31,9.25
Th2Hf,합금,2,27.26,1.8,6.47,109.95,5.85,7.01
N2Ba,화합물,2,72.7,2.1,2.05,25.86,8.63,1.48
Ce2,원소,1,224.56,4.0,21.34,367.24,9.27,9.05
Cr3Pd2,합금,2,21.96,3.6,2.61,73.97,14.28,13.42
Er2KZnTa4W2As2,고온,6,110.79,2.9,7.1,4.35,4.62,114.52
LaHf4TaK,고온,4,30.25,5.5,3.4,7.36,12.06,162.03
Er2TiNd3,화합물,3,26.52,1.7,5.55,11.91,3.26,4.25
NaMg2Zr,화합물,3,116.29,5.6,6.04,10.41,7.97,7.68
ScRu,화합물,2,32.12,4.5,7.85,27.43,4.93,12.98
PrHf4C4Li3,고온,4,33.98,3.4,6.41,8.67,9.14,110.09
Ge3Sb4Rb4O3,고온,4,55.42,2.2,6.92,2.12,2.98,53.43
Mn3InVCeGd4H3,고온,6,58.17,3.0,5.3,1.35,13.68,110.91
Li3K2YC2,화합물,4,107.99,5.0,8.43,31.31,0.33,6.71
Na2Nd2,합금,2,62.62,3.0,12.75,43.53,10.75,14.64
Sr4IrC4,화합물,3,24.06,4.8,6.93,44.01,11.04,8.0
BaFe2,화합물,2,150.73,1.9,8.59,18.55,3.85,8.94
FeMg3,화합물,2,120.79,3.0,11.66,36.02,1.68,3.67
NbY2Sr2K3Mn,고온,5,65.27,3.8,5.29,10.42,14.15,42.22
Mo2Tb2PtK,화합물,4,144.09,4.9,7.35,15.92,6.08,3.89
HLu2,합금,2,57.71,3.0,8.92,118.24,8.19,5.76
Ce3Ru3Gd2,화합물,3,157.52,2.6,5.88,26.54,9.82,16.17
Mo4Ti3,수소화물,2,22.81,2.8,6.1,26.55,1.64,210.57
InNbBi,합금,3,60.33,4.4,11.52,133.89,7.51,14.0
RuTbBi,화합물,3,112.73,2.4,12.86,19.8,14.61,0.14
SSe3,화합물,2,156.03,5.2,2.64,10.72,9.44,11.87
Yb,원소,1,146.28,3.0,8.34,87.88,9.5,0.0
Th2Rh2,화합물,2,76.48,3.8,12.28,28.61,1.18,14.44
NiMn2Dy3,화합물,3,136.48,4.5,1.89,23.48,4.83,24.22
ThAu4,화합물,2,77.39,3.8,1.81,10.88,12.76,11.91
TlEr2Ag2F3Lu,고온,5,126.48,3.7,6.14,13.83,12.71,158.0
Al2Th2SnO,화합물,4,107.55,2.1,8.73,30.35,14.7,6.37
Sm2N3Th2,합금,3,75.78,3.4,6.66,83.26,2.62,9.34
Gd2ReLuBZn2Sr,고온,6,84.22,2.0,7.35,2.54,9.2,150.38
GdBa2Ge3,화합물,3,26.02,1.6,6.55,48.56,1.03,8.91
Re3Tb3Hf2As,화합물,4,83.96,4.1,9.96,26.22,14.3,6.85
SeZn3Pb3Dy2C,고온,5,35.18,2.7,7.95,5.06,3.27,130.49
YMnIn,화합물,3,144.39,2.2,8.4,22.25,14.6,6.45
Cd2IrGe,화합물,3,122.4,3.8,5.3,33.71,11.69,5.03
Cs3UCr,합금,3,46.21,2.9,10.49,70.4,0.12,16.05
HgMn3,화합물,2,122.25,5.7,9.89,26.85,11.61,12.58
BiLaTm,합금,3,85.03,5.0,5.23,14.13,13.66,5.09
Li4NdV3C2YbEu,고온,6,96.51,4.9,5.53,7.11,5.86,107.87
AgRu,합금,2,153.3,2.0,10.56,51.75,12.16,7.83
Ir4Ca,화합물,2,116.27,5.0,12.04,5.27,6.49,8.42
N2ErAl4Os2Cu3Fe,고온,6,106.59,3.1,7.57,4.29,7.54,112.14
PPdGd,화합물,3,157.26,6.0,9.31,43.88,11.5,9.01
OsInHo,화합물,3,102.11,3.7,4.27,26.68,6.02,9.75
Cr3Bi,화합물,2,138.91,1.5,6.22,19.15,9.42,6.23
F2Er,화합물,2,147.24,5.7,12.22,39.3,6.2,14.77
Zn2CrV2U,화합물,4,89.43,3.7,3.65,10.7,7.89,10.51
Sr3Ca4,화합물,2,123.92,4.0,10.06,22.64,5.74,2.26
Pr2Se2,수소화물,2,44.27,1.8,3.12,49.35,13.22,210.79
LiIr3TmNa3Pb3,고온,5,111.64,3.7,7.11,12.02,13.53,35.08
Zn3In2B2Ga4,고온,4,126.18,3.2,7.3,14.58,6.15,160.87
TmCuNdEu2Tb2Sc2,고온,6,49.92,5.6,4.24,7.47,3.98,102.15
Hf2Fe2C3,화합물,3,58.4,5.4,3.33,36.36,7.6,21.43
Cu2Se2W2,화합물,3,45.2,3.5,4.96,19.55,12.91,16.56
Tm2SbSnMo4,고온,4,43.74,5.0,6.76,14.13,13.39,100.21
Y3Nb2Ho,화합물,3,68.64,3.5,6.04,3.02,9.05,24.24
Al4Si4,수소화물,2,22.06,5.7,4.8,76.29,13.65,294.45
Ca3Ce2Os,화합물,3,50.04,4.5,6.57,26.41,1.14,6.34
RbIn2Ba3C,화합물,4,158.63,4.6,2.03,22.61,6.42,21.09
PbY3N,화합물,3,14.22,4.7,6.23,38.42,11.44,19.74
SiFe3Sn4,수소화물,3,1.5,4.0,3.61,61.74,7.58,128.7
SeOsAs3,합금,3,96.38,3.6,13.23,98.42,9.12,8.47
Ir2HoMgEu2Au,고온,5,64.47,2.3,8.01,4.81,10.39,112.86
GdSi2,화합물,2,91.03,5.0,11.42,39.74,6.89,2.85
